# Part A: Complete Exercise Database (Gym Equipment)

Below is an exhaustive list of the top exercises for each muscle group, with details on muscles targeted, equipment, technique, common errors, cues, goals, and recommended sets/reps/rest by level. **Tables summarize the main programming data (sets–reps–rest) and key notes;** accompanying bullet lists give step-by-step execution, mistakes, and cues. 

### Latissimus Dorsi (Back Width, V-Taper)

| Exercise               | Equipment           | Sets (Beg/Int/Adv)     | Reps (Beg/Int/Adv)    | Rest    | Notes (Primary/Secondary, Goals, Cues)                                              |
| **Face Pull (Cable Rope)** | Cable machine, rope | 3 / 3 / 4    | 10–15 / 12–15 / 12–15 | 60 s | *Primary:* Mid/lower traps, rear delts, rhomboids. Attach rope high, pull towards forehead with elbows flaring. Cue: “Pull elbows apart, squeeze shoulder blades.” Avoid leaning back; focus on squeezing upper back. Great for posture and scapular health. |
| **Barbell Upright Row**   | Barbell (or EZ bar) | 2 / 3 / 3    | 8–12 / 8–12 / 6–10 | 60–90 s | *Primary:* Mid traps, lateral delts; *Secondary:* upper traps. Lift bar to chin with elbows high. Cue: “Elbows up, keep bar close.” Mistakes: lifting elbows too low or using too heavy weight (can impinge shoulders). Builds traps and delts. |
| **Rack Pull (Partial Deadlift)** | Barbell, power rack | 2 / 3 / 3    | 5–8 / 5–8 / 3–5    | 90–120 s| *Primary:* Upper/mid traps; *Secondary:* glutes, lower back. From knee-height bar position, shrug/pull bar up focusing on back. Cue: “Hold lockout, squeeze shoulders.” Avoid jerking; keep tension in traps. Very heavy, trap-focused variant of deadlift. |
| **Barbell/Dumbbell Farmer’s Walk** | Dumbbells or trap bar | 3 / 3 / 4 | 30–60 s walks | –      | *Primary:* Traps, forearms; *Secondary:* core. Simply walk carrying heavy weights at sides. Cue: “Stand tall, chest up, shoulders down.” Mistakes: slouching or hunching. Builds trap thickness and grip. |
| **Deadlift (Heavy)**   | Barbell              | 2 / 3 / 4      | 3–5 / 3–5 / 1–3    | 120 s | *Primary:* Entire trapezius and posterior chain. Conventional or sumo deadlift loads traps along with glutes/hamstrings. Cue: “Keep bar close, lock spine.” Avoid rounding. Great total-body strength but thickens waist (avoid for narrow waist goals). |
| **Overhead Shrug**     | Barbell or Dumbbells | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Upper traps; *Secondary:* shoulders. Press weight overhead and shrug at lockout (or press slightly less to emphasize traps). Cue: “Finish press by shrugging shoulders.” Warning: not to substitute full overhead press. Good finisher for trap and shoulder shrugging strength. |
| **Dead Hang / Pull-Up Hold** | Pull-up bar  | 2 / 2 / 3      | 20–30 s / 30–45 s / 45–60 s | – | *Primary:* Traps (isometric) and grip. Hang with shoulders slightly scap-pulled, hold top of pull-up or simply hang. Cue: “Engage traps (down/back) and core.” Great for scapular control and trap endurance. |

**Technique Steps, Mistakes & Cues (examples):** 

- **Shrug (Dumbbell):** Stand upright holding dumbbells by sides. Step 1: Feet hip-width, core braced. Step 2: Without bending arms, lift shoulders straight up as if “shrugging at ears.” Step 3: Hold peak contraction (1–2s) squeezing traps. Step 4: Lower shoulders slowly. (*Common mistakes:* rolling shoulders forward/back, bending elbows). *Cue:* “Lift shoulders straight up – imagine pushing them toward your ears.”  
- **Face Pull:** Step 1: Attach rope at high pulley. Step 2: Grip rope ends (palms facing each other) and step back. Step 3: Starting tall, pull rope toward your forehead, flaring elbows wide, squeezing shoulder blades. Step 4: Pause and return slowly. (*Mistakes:* leaning back too far, letting elbows drop). *Cue:* “Pull apart the rope, elbows out and back.”  
- **Upright Row:** Step 1: Grip barbell at shoulder width with overhand grip. Step 2: Drive elbows straight up to shoulder level, keeping bar close to body. Step 3: Pause at top (elbows just above shoulders), then lower under control. (*Mistakes:* lifting too high (stop at chin level), rounding shoulders). *Cue:* “Lead with elbows, keep them higher than wrists.”  
- **Rack Pull:** Step 1: Set bar at knee height on a rack. Stand so bar near shins, feet hip-width. Step 2: Hinge hips back, grab bar slightly wider than shoulders. Step 3: Brace core, pull through legs by extending hips, keeping back flat. Step 4: Squeeze traps at lockout. (*Mistakes:* jerking; rounding lower back). *Cue:* “Pretend to ‘wrap’ bar around legs and stand tall.”  

### Rhomboids (Scapular Retractors)

| Exercise               | Equipment          | Sets (B/I/A)   | Reps (B/I/A)   | Rest  | Notes (Primary/Secondary, Goals, Cues)                                               |
|------------------------|--------------------|----------------|----------------|-------|--------------------------------------------------------------------------------------|
| **Seated Cable Row**   | Cable row machine  | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Rhomboids, middle traps, lats; *Secondary:* biceps. Pull handle to abdomen, pinching shoulder blades. Cue: “Row elbows back and together.” Avoid using momentum; stop short of leaning. Excellent all-level back thickness exercise. |
| **Chest-Supported Dumbbell Row** | Incline bench + dumbbells | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Rhomboids, lats; *Secondary:* traps, biceps. Lying chest-down on bench, row DBs. Cue: “Lead pull with elbows, squeeze mid-back.” (*Mistakes:* letting chest lift off bench, shrugging). Provides stability to focus on back muscles. |
| **Single-Arm Cable/Dumbbell Row** | Cable machine or bench + DB | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Rhomboids, lats; *Secondary:* traps, biceps. Pull weight toward hip with free body stance (as in one-arm DB row). Cue: “Pull elbow past torso, shoulder blade back.” Avoid twisting body. Helps correct imbalances. |
| **Inverted (Supine) Row** | Bar in rack or TRX  | 3 / 3 / 4      | 8–12 / 8–12 / 10–15 | 60–90 s | *Primary:* Rhomboids, middle traps; *Secondary:* lats, biceps. Lie under bar, heels on floor, pull chest up. Cue: “Drive chest to bar, squeeze shoulder blades.” Keep body straight. Mistakes: hips sagging. Good bodyweight back exercise for all levels. |
| **Band Pull-Apart / Face Pull (Band)** | Resistance band | 2 / 3 / 3   | 12–20 / 15–20 / 15–20 | 30–60 s | *Primary:* Rhomboids, posterior delts. With band held at chest height, pull hands apart keeping arms straight (or slight bend). Cue: “Pull band apart, pinch blades.” Mistakes: shrugging, partial range. Great warm-up/activation for scap retraction. |
| **Low-to-High Cable/Band Row** | Cable or band (anchor low) | 2 / 3 / 3 | 10–15 / 10–15 / 10–15 | 60 s | *Primary:* Rhomboids (emphasizes upper back). Pull handle from low to high (diagonal). Cue: “Elbows back and up at ~45°”. Ensures scapular retraction plus a slight upward lift to engage rhomboids. |
| **Reverse Fly (Machine or DB)** | Pec-deck or dumbbells | 2 / 3 / 4 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Rhomboids, rear delts; *Secondary:* traps. With chest-supported on machine or bent-over with DBs, raise arms out to side. Cue: “Squeeze shoulder blades together at top.” Avoid swinging. Good isolation for rear shoulder/retractors. |
| **Prone Y/I/T Raise**    | Bodyweight or light DB | 2 / 2 / 3   | 10–12 (each)      | 60 s | *Primary:* Lower traps, rhomboids; *Secondary:* rear delts. Lie face down on bench, lift arms in Y/T shapes. Cue: “Lift thumbs toward ceiling (external rotation).” Helps posture and lower trap activation. |
| **Double-Arm Pull-Up** | Pull-up bar         | 2 / 3 / 4      | 5–8 / 6–10 / 6–10  | 90 s | *Primary:* Rhomboids and lats (scapular retraction). Perform pull-up focusing on initiating pull by squeezing shoulder blades down/back. Cue: “Engage upper back before pulling.” (A variation on pull-up to emphasize scapular control). |
| **Rack Pull (High)**   | Barbell in rack    | 2 / 3 / 3      | 5–8 / 5–8 / 5–8    | 90–120 s| *Primary:* Rhomboids, traps. Similar to trap rack pulls but focus on squeezing mid-back at lockout. Cue: “At top, pinch blades and hold.” Heavy grip makes shoulders retract. |

### Posterior Deltoid (Rear Shoulders)

| Exercise              | Equipment             | Sets (B/I/A)   | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                                        |
|-----------------------|-----------------------|----------------|------------------|-------|-------------------------------------------------------------------------------|
| **Dumbbell Rear Delt Fly** | Dumbbells (or Pec-dec) | 3 / 3 / 4    | 10–15 / 12–15 / 8–12 | 60 s | *Primary:* Posterior delts; *Secondary:* lats, traps, rhomboids. With torso bent or chest on incline bench, lift weights laterally. Cue: “Raise elbows high, squeeze back of shoulders.” Mistakes: lifting too heavy or using momentum. Key rear-delt isolation. |
| **Face Pull**         | Cable + rope          | 3 / 3 / 4     | 12–15 / 12–15 / 12–15 | 60 s | *Primary:* Rear delts, traps; *Secondary:* rhomboids. (Technique same as above). Great for shoulder health and rear-delt hypertrophy. Cue: “Pull until rope at forehead, emphasize external rotation.” |
| **Bent-Over Reverse Pec Deck** | Machine       | 2 / 3 / 3     | 10–15 / 12–15 / 8–12 | 60 s | *Primary:* Posterior delts. Sit facing pad, lift handles out to sides. Cue: “Keep chest on pad, pull hands back.” Avoid shrugging. Consistent tension on rear delts. |
| **Single-Arm Cable Rear Delt Fly** | High pulley & handle | 2 / 3 / 4 | 12–15 / 12–15 / 10–12 | 60 s | *Primary:* Rear delts, rhomboid. Stand side-on, hold high cable with one hand, pull arm across body in wide arc. Cue: “Lead with elbow, keep arm slightly bent.” Good for unilateral training. |
| **Barbell/Dumbbell Bent-Over Row** | Barbell or dumbbells | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Lats/traps; *Secondary:* rear delts. (Row technique as above). Emphasize pulling elbows wide at top to activate rear delts. Cue: “Imagine pulling elbows slightly out to side.” |
| **Inverted Row (Horizontal Pull)** | Bar (feet elevated optional) | 3 / 3 / 4 | 8–15 / 8–15 / 10–20 | 60–90 s | *Primary:* Rear delts, middle traps. (As above inverted row, but focus on retracting shoulders and keeping elbows out at ~45°). Variation: pause at top and focus on squeezing rear delts. |
| **Close-Grip Lat Pulldown** | Lat pulldown (narrow V-bar) | 2 / 3 / 3 | 8–12 / 8–12 / 6–10 | 60–90 s | *Primary:* Lats; *Secondary:* rear delts, biceps. Sit and pull bar to chest with elbows back. Cue: “Pull elbows down and back.” Engages rear delts when focus on squeezing back. |
| **Seated Row – High Elbow** | Cable row machine | 2 / 3 / 3 | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Rear delts, middle traps. Perform row but keep elbows higher (toward shoulder level) to emphasize rear shoulder. Cue: “Bring elbows out wide.” |

### Lateral Deltoid (Shoulder Width, V-Taper)

| Exercise               | Equipment              | Sets (B/I/A)   | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                                             |
|------------------------|------------------------|----------------|------------------|-------|------------------------------------------------------------------------------------|
| **Overhead Press (Barbell or DB)** | Barbell or Dumbbells  | 2 / 3 / 4   | 6–10 / 6–10 / 5–8 | 90–120 s | *Primary:* Deltoids (focus on front and side heads); *Secondary:* Triceps, traps. Standing press overhead engages medial delts for width. Cue: “Press straight up, think shoulders.” Avoid arching lower back. Foundation for shoulder strength. |
| **Dumbbell Lateral Raise** | Dumbbells           | 3 / 3 / 4     | 10–15 / 10–15 / 8–12 | 60 s  | *Primary:* Lateral delts; *Secondary:* traps. Raise arms out to sides with slight bend. Cue: “Lead with elbows, light push.” Keep torso still. Common mistakes: swinging, too heavy, shrugging. Key for V-taper width and delt mass. |
| **Machine Overhead Press** | Shoulder press machine | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 90 s  | *Primary:* Lateral & anterior delts. (Variation of press with guided path). Provides safety and constant tension. |
| **Arnold Press**        | Dumbbells              | 2 / 3 / 4     | 8–12 / 8–12 / 6–10 | 90 s  | *Primary:* All deltoid heads (emphasis on front and side). Start DBs at shoulders (palms facing you), rotate palms away as you press. Cue: “Rotate at top.” Avoid dropping elbows behind head at bottom. Great for full shoulder development. |
| **Cable Lateral Raise** | Cable machine         | 2 / 3 / 4     | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Lateral delts. Stand side-on, attach single handle to low pulley, lift arm laterally. Cue: “Lead with thumb up.” Keeps constant tension.  |
| **Upright Row (Wide Grip)** | Barbell/EZ bar   | 2 / 2 / 3     | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Lateral delts, traps. Using a wider grip emphasizes shoulders more than traps. Lift bar to chin with elbows out. Cue: “Think L-shaped motion.” Caution: not going too high to avoid impingement. |
| **Push Press**         | Barbell               | 2 / 2 / 3     | 5–8 / 6–10 / 4–6  | 120 s | *Primary:* Lateral delts (with momentum); *Secondary:* legs, core, triceps. Slight leg drive helps move heavy load. Cue: “Dip and drive the bar up.” Great for advanced strength and shoulder power. |
| **Lying Lateral Raise** | Dumbbells             | 2 / 3 / 4     | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Lateral delts. Lie on one side on bench, raise top arm. Cue: “Raise arm to ceiling, keep motion smooth.” Isolates lateral delt by removing torso involvement. |

### Anterior Deltoid (Front Shoulders)

| Exercise             | Equipment        | Sets (B/I/A)   | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                            |
|----------------------|------------------|----------------|------------------|-------|-------------------------------------------------------------------|
| **Barbell/Dumbbell Bench Press** | Barbell or Dumbbells | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Chest; *Secondary:* Anterior delts, triceps. (Compound press.) Cue: “Drive through chest and shoulders.” Common mistakes: flaring elbows, arching back. Focus for overall upper body mass. |
| **Incline Bench Press** | Barbell or Dumbbells | 2 / 3 / 4   | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Upper chest; *Secondary:* Anterior delts. Higher angle shifts emphasis toward front delts and clavicular chest. Cue: “Arms at ~45° as you press up.” Great for upper-body shape. |
| **Seated Overhead Press** | Machine or Dumbbells | 2 / 3 / 4 | 6–10 / 6–10 / 5–8   | 90–120 s | *Primary:* Anterior delts; *Secondary:* triceps. Sit upright, press straight overhead. Cue: “Elbows under wrists, push straight.” Minimizes lumbar stress. |
| **Cable Front Raise** | Cable machine   | 2 / 3 / 3     | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Anterior delts. Raise handle in front to eye level. Cue: “Lead with thumbs.” Avoid swinging or shoulder elevation. |
| **Pike/Handstand Push-Up** | Bodyweight | 2 / 3 / 3 | 5–8 / 6–12 / 8–15 | 60–90 s | *Primary:* Anterior delts, upper chest; *Secondary:* triceps. Performed with feet elevated or against wall. Cue: “Bring head to floor, press up.” Excellent bodyweight shoulder builder. |
| **Landmine Shoulder Press** | Barbell landmine | 2 / 3 / 4 | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Front delt; *Secondary:* triceps. Grip end of barbell, press at ~45° angle. Cue: “Keep core tight, press up and out.” Natural shoulder angle reduces strain. |
| **Dumbbell Pullover (lying)** | Dumbbell, bench | 2 / 2 / 3 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Lats and chest; *Secondary:* anterior delts. (Primarily back/chest exercise but also loads front shoulder). Lie on bench, sweep DB overhead. Cue: “Keep slight bend in elbows, stretch then pull back.” Good for chest/thorax. |

### Clavicular (Upper) Pectoralis Major

| Exercise              | Equipment         | Sets (B/I/A)   | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                                                        |
|-----------------------|-------------------|----------------|------------------|-------|-----------------------------------------------------------------------------------------------|
| **Incline Barbell Press** | Barbell       | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Upper chest, anterior delts. (As above) Focus angle ~30–45°. Cue: “Press up along incline, squeeze chest.” Avoid flaring elbows too wide. Increases upper-chest development. |
| **Incline Dumbbell Press** | Dumbbells    | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Upper chest; *Secondary:* front delts. Greater range than barbell. Cue: “Press dumbbells together at top.” Good for symmetry. |
| **Low-to-High Cable Fly** | Cable machine | 2 / 3 / 3      | 10–15 / 10–15 / 8–12 | 60 s  | *Primary:* Upper chest, front delts. Stand facing low pulleys, bring handles upward and together. Cue: “Lead with elbows up.” Emphasizes upper-pectoral fibers. |
| **Incline DB Fly**    | Dumbbells         | 2 / 3 / 4      | 10–15 / 12–15 / 8–12 | 60 s  | *Primary:* Upper chest. Lying on incline bench, arms wide, lift dumbbells together above chest. Cue: “Arc arms in and together.” Keep slight elbow bend. |
| **Reverse-Grip Bench Press** | Barbell   | 2 / 3 / 3      | 8–12 / 8–12 / 6–10  | 90–120 s | *Primary:* Upper chest, front delts. (Reversing grip shifts load). Cue: “Grip bar palms-up, press normally.” Useful for upper-chest emphasis. |
| **Cable Incline Press (standing)** | Cable, set high | 2 / 3 / 3  | 8–12 / 8–12 / 6–10 | 60 s | *Primary:* Upper chest. Stand facing away from cable, simulate incline bench motion. Cue: “Press forward and slightly upward.” Machines not needed. |

### Sternal (Mid/Lower) Pectoralis Major

| Exercise              | Equipment         | Sets (B/I/A)   | Reps (B/I/A)     | Rest  | Notes (Primary/Secondary, Goals, Cues)                                         |
|-----------------------|-------------------|----------------|------------------|-------|-------------------------------------------------------------------------------|
| **Flat Barbell Bench** | Barbell          | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Mid chest; *Secondary:* anterior delts, triceps. Cue: “Drive bar up from chest, pinch shoulder blades.” Avoid arching lower back. Foundation for chest mass. |
| **Flat Dumbbell Press** | Dumbbells       | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Mid chest. Greater stretch and ROM than barbell. Cue: “Press dumbbells together.” Balance shoulders to avoid dips. |
| **Chest Dip (leaning)** | Parallel bars   | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s  | *Primary:* Mid/lower chest; *Secondary:* triceps, front delts. Lean forward to emphasize chest. Cue: “Lean torso forward, lower chest between bars.” Mistakes: staying vertical (triceps). Excellent lower chest builder. |
| **Cable Fly (Chest Height)** | Cable machine | 2 / 3 / 4  | 10–15 / 10–15 / 8–12 | 60 s  | *Primary:* Chest (mid and inner). Stand between high pulleys, bring handles in front at chest level. Cue: “Hug a tree” motion, squeeze at contraction. Keep arms slightly bent. |
| **Push-Up**           | Bodyweight        | 2 / 3 / 4      | 10–15 / 15–20 / 15–20 | 60 s  | *Primary:* Chest; *Secondary:* delts, triceps. Cue: “Hands slightly wider than shoulders, chest to floor.” (Elevate feet for difficulty). Simple chest builder for all levels. |
| **Decline Bench Press** | Barbell or DB   | 2 / 2 / 3      | 8–12 / 8–12 / 6–10  | 90–120 s | *Primary:* Lower chest; *Secondary:* triceps, front delts. Bench set decline angle (~15–30°). Cue: “Press down and back.” Targets lower pec fibers. |
| **Machine Chest Press** | Chest press machine | 2 / 3 / 4  | 8–12 / 8–12 / 6–10  | 60–90 s | *Primary:* Chest (all heads). Like bench press in a guided path. Good for stable strength, beginners, or heavy loads. |

### Triceps Brachii (All 3 Heads)

| Exercise                | Equipment          | Sets (B/I/A)   | Reps (B/I/A)    | Rest   | Notes (Primary/Secondary, Goals, Cues)                                                    |
|-------------------------|--------------------|----------------|-----------------|--------|-------------------------------------------------------------------------------------------|
| **Close-Grip Bench Press** | Barbell          | 2 / 3 / 3      | 8–12 / 8–12 / 6–10 | 90–120 s | *Primary:* Triceps (all heads, emphasis on medial head); *Secondary:* chest, delts. Cue: “Hands ~shoulder-width, elbows in.” Press like normal. (Jeff Cavaliere notes this hits all heads.) Great heavy push movement. |
| **Parallel-Bar Dip**    | Dip bars           | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s   | *Primary:* Triceps (all heads). Lean forward to add chest. Cue: “Keep body upright (triceps focus) or lean (chest/tris).” Mistakes: flaring elbows out. Excellent bodyweight strength. |
| **Lying Triceps Extension (Skullcrusher)** | EZ-bar or Barbell | 2 / 3 / 4   | 8–12 / 8–12 / 6–10 | 90 s | *Primary:* Triceps (long head stretch emphasis). Lie on bench, lower bar to forehead (or behind head if focusing long head). Cue: “Keep elbows fixed, hinge at shoulders.” Use EZ-bar for wrist comfort. Boosts triceps hypertrophy. |
| **Triceps Pushdown**   | Cable machine + bar/rope | 3 / 3 / 4 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Triceps (lateral head emphasis). Using straight bar or rope, push down to full elbow extension. Cue: “Push hands down and apart (for rope).” Avoid leaning. Rope variant hits long/lateral heads.|
| **Overhead Triceps Extension (Cable or DB)** | Cable machine / Dumbbell | 2 / 3 / 3 | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Triceps (long head). Sit or stand, press weight overhead by extending elbows. Cue: “Keep arms upright, point elbows forward.” For cable, use rope at low pulley. Stretches long head fully. |
| **Diamond Push-Up**    | Bodyweight         | 2 / 3 / 4      | 10–12 / 12–15 / 12–15 | 60 s | *Primary:* Triceps (all heads, lateral focus). Hands close together under chest forming diamond. Cue: “Lower chest to hands, elbows tight.” Great finisher for triceps. |
| **Kickback (DB)**      | Dumbbell           | 2 / 3 / 3      | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Triceps (lateral head). Bend over, keep upper arm parallel to body, extend elbow. Cue: “Lock elbow, push weight back.” Mistakes: swinging arms or using momentum. Isolation move for triceps. |
| **JM Press (Close EZ Press)** | EZ-bar      | 2 / 2 / 3      | 6–10 / 6–10 / 5–8   | 90 s   | *Primary:* Triceps (all heads). Similar to narrow press; start hands under mid-chest. Bend elbows back toward head, then push up. Cue: “Keep elbows tucked as you lower.” Emphasizes triceps while reducing shoulder stress. |
| **Diamond Stability Ball Push-Up** | Bodyweight + stability ball | 2 / 2 / 3 | 10–12 / 12–15 / 12–15 | 60 s | *Primary:* Triceps, plus core. Feet or knees on ball, hands in diamond. Cue: “Keep body rigid as you push.” Adds instability for core engagement while hitting triceps. |

*(Jeff Cavaliere recommends the EZ-bar skullcrusher as a top overall triceps exercise because it allows heavy loading safely.)*

### Biceps Brachii (Long Head for Peak, Short Head for Width)

| Exercise               | Equipment            | Sets (B/I/A)   | Reps (B/I/A)    | Rest  | Notes (Primary/Secondary, Goals, Cues)                                             |
|------------------------|----------------------|----------------|-----------------|-------|------------------------------------------------------------------------------------|
| **Barbell (or EZ) Curl** | Barbell or EZ-bar   | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 90 s  | *Primary:* Biceps (both heads); *Secondary:* brachialis. Cue: “Keep elbows pinned, curl up.” Use strict form. Classic mass builder. |
| **Alternating Dumbbell Curl** | Dumbbells    | 2 / 3 / 4      | 10–15 / 10–15 / 8–12 | 60 s | *Primary:* Biceps (both heads). Cue: “Twist (supinate) wrist at top for full contraction.” Avoid swinging. Good unilateral training. |
| **Hammer Curl**        | Dumbbells           | 2 / 3 / 4      | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Brachialis & brachioradialis; *Secondary:* biceps. Hold DBs with thumbs up. Cue: “Keep wrists neutral, squeeze forearm.” Develops arm thickness and forearms. |
| **Preacher Curl**      | EZ-bar on preacher bench | 2 / 3 / 3  | 8–12 / 8–12 / 6–10 | 60 s  | *Primary:* Biceps short head (inner biceps). Eliminate body swing by bracing arms on pad. Cue: “Curl to shoulders, pause.” Avoid going too low (keep tension). |
